GOOD_NAME,UNIT_PRICE_AVR,ADG_CODE_MODE,Labels,GOOD_NAME_TRANSLATED,Predicted_Labels
ԳԱՐԵՋՈՒՐ ԱՄՍՏԵԼ Ժ/Բ 0.5Լ,599.0,2203,beer,Beer Amstel h / b 0.5 l,beer
Ռոլլ Խանումա Աթենք,2000.0,1601,else,Roll Khanuma Athens,else
Բրինձ <<Ярмарака>> Круглозерный 700,1190.0,710,rice,Բրինձ << Yarmaraka >> Crouping 700,else
Сырная тарелка Для тебя Сказочный Вояж 185г,306.666666666667,406,cheese,Cheese plate for you fabulous voyage 185,cheese
Պանիր Հոխլանդ Հալած 400գր,2000.0,406,cheese,Cheese Hokland Melted 400 gr,cheese
Բլղուր մանր  450գ  Rio Grande,400.0,1008,else,Bulger Small 450 g Rio Grande,meat
Սորինի ԲՄԲ Բաուլետտո 300գր Գոլդ,5200.0,1806,dessert,Sorini Baouletto 300 Gold Gold,beer
Ցախ կեռաս հատ,1500.0,2008,dessert,Cleft cherries,dessert
ՄԻԹ ՖՈՒԴ ՍԱԼ,2800.0,1601,meat,Mitt Food Sal,dairy
ՊՈՄԻԴՈՐ  ՉԵՐԻ,1473.18181818182,702,tomatoes,Pomidor Cherry,dessert
Գարեջուր 'CHIMAY' 0.75լ ա/տ cinq cents tripel 8%,4515.0,2203,beer,Beer 'Chimay' 0.75 l A / T CINQ CENTS TRIPEL 8%,beer
Գարեջուր ԼՈՎԵՆ ԲՌԱՈՒՆ 0.5լ թ/տ  «Ադամյում»,500.0,2203,beer,"Beer Loven Brown 0.5 l T / T ""Adamum""",beer
ՄԱՄՈՒԼԻՆ ՏՈՐԹ 230 Գ,850.0,101,dessert,Press Cake 230 g,dessert
ԺԵԼԵ ՏՈՐԹ 0.780ԿԳ 6Հ,1500.0,101,dessert,Jelly cake 0.780 kg 6 h,dessert
Սուշիի լիստեր House of Asia 6հ,1450.0,1212,else,Sushi Lists House Of Asia 6 h,else
ՄԻՋԱԴԻՐ ՔԵՖՐԻ ամենօրյա 20Հ,885.714285714286,9619,else,Intermediate Keffre daily 20 h,beer
Լոլիկ  կգ 380,380.386176470588,702,tomatoes,Tomatoes kg 380,tomatoes
Հավի թևի բդիկ «Ստավռոպոլսկի» կգ,1515.0,1602,meat,"Chicken wing bitter ""Stavropolski"" kg",meat
"Կեֆիր Bonilat 0% 0,9լ",660.0,403,dairy,Kefir Bonilat 0% 0.9l,dairy
Թան առանց գազ Ապարան 1լ,440.0,403,dairy,Tan without gas Aparan 1 l,else
Miller գարեջուր ա/տ 0.33լ,520.0,2203,beer,Miller Beer A / T 0.33 l,beer
Ժելե Ռուսկի պրոդուկտ ազմվամորի 50գ,290.0,3503,dessert,Jelly RUSSIAN PRODUCT JARMATAMOR 50 G,dairy
ՌՈՒԼԵՏ ՋԵՄՈՎ ԶԱՏԻԿ,780.0,1905,dessert,Roulette Jamov Easter,else
7 Դեյս Մինի Բուրգեր Ժելե 10գ,100.0,1905,dessert,7 Deed Mini Pyramids Jelly 10 g,dessert
Պանիր Գաուդա 48% դեղին կգ,5500.0,101,cheese,Cheese Gauda 48% Yellow Kg,cheese
Պանիր Լոռի էժան Սևանա կգ․,1878.88888888889,403,cheese,Cheese cheap Loran kg.,cheese
Սուշի «Ջոլլի» 48գ,1500.0,1704,else,"Sushi ""Jolly"" 48 g",else
m & m Disqueti կգ Ռոսկաֆե,3900.0,1806,dessert,M & M Disqueti kg of rosceafe,dessert
"Բրինձ ""Ոսկե Ջրաղաց"" կլորահատիկ 1000 գ",1258.125,1006,rice,"Rice ""Golden Mill"" Round 1000 g",rice
Լոլիկ  կգ 840,840.535263157895,702,tomatoes,Tomato Kg 840,tomatoes
ՀԱՐԲԱՑ ԲԱԼ,610.0,101,dessert,Drunk cherry,dessert
Բրինձ շոգեհարած ՙԲարեկենդան՚ գոլդեն 0.5կգ,386.153846153846,1006,rice,Rice steamed Carnival Golden 0.5 kg,rice
Բրինձ թայլանդ Ինեսսա թանկ կգ,880.0,1006,rice,Rice Thailand Inessa Expensive Kg,rice
Թան Bonilat 1.5% 1լ,432.183098591549,401,dairy,Tan Bonilat 1.5% 1 l,beer
ԱՊԱՐԱՆ ԹԱՆ 500ՄԼ,260.0,403,dairy,Aparan Tan 500 ml,dairy
Դոնդող Լով,130.0,904,dessert,Jelly,dessert
Լոլիկ էկզոտիկ կգ (Զեղչ),202.4790625,702,tomatoes,Tomato Exotic Kg (Discount),tomatoes
Պանիր հալած Հոխլանդ 400գր.,1950.0,406,cheese,Cheese Melted Hokland 400 gr.,cheese
Բրինձ բասմատի «Նուր Ջան» կգ,890.0,1902,rice,"Rice Basmat's ""Nur Jan"" kg",rice
Բրինձ կլորահատիկ Ալտայսկայա Սկազկա 800գ,720.0,1006,rice,Rice Round Altaykaya Scazka 800 g,rice
Փոքրիկ Նկարներ Գյումրի,920.0,3926,else,Little pictures of Gyumri,else
Գարեջուր «Kilikia» 4.8% ա/տ 250մլ,330.0,2203,beer,"Beer ""Kilikia"" 4.8% A / T 250 ml",beer
Պանիր Կալինինոյի չանախ  կգ,1650.0,406,cheese,Cheese Kalinino Chanakh Kg,cheese
Գ.Ք.Հարբած բալ,600.0,1905,dessert,G.C. Charitable cherry,dessert
Ձկան պահ. Սարդինա տոմատ ...,1180.0,305,meat,Fish moment.Sardina Tomat ...,tomatoes
Ծովակաղամբ սուշիի համար Սեն Սոյ 28գ,1950.0,2106,else,Saint Soy 28 g for Sushi Sushi,else
Գարեջուր Stella Artois 0.33լ,555.241379310345,2203,beer,Beer Stella Artois 0.33 l,beer
Վաֆլի Սլադոնեժ Եփած Խտ․կաթ 120գ,330.0,1905,dessert,Waffle Sladonezh cooked chat. 120 g,dairy
Գարեջուր <<Heineken>> 4.8%  0.5լ,816.197183098591,2203,beer,Beer << Heineken> 4.8% 0.5 l,beer
Բրինձ ինդիկա գոլդ «Մայա սեմյա» 1 կգ,870.0,1006,rice,"Rice Indica Gold ""Maya Semia"" 1 kg",rice
Բդիկ 15 կգ արկղ,14010.0,406,meat,Bddix 15 kg box,meat
Դոնդող չոր ազնվամորու Նինա Ֆարինա 50գ,137.5,1704,dessert,Jelly dry raspberry Nina Farina 50 g,dessert
Կեֆիր ԲՈՆԻԼԱՏ 0.45լ դիետիկ 0.5%,390.0,403,dairy,Kefir Bonilat 0.45 l Diet 0.5%,dairy
0702-Պոմիդոր մոխիտոս կգ,701.122726377952,702,tomatoes,0702-tomato Mokhitos Kg,tomatoes
Կեֆիր Նախաճաշ <<ԲԻֆիդո>> Մարիաննա 2,480.0,401,dairy,"Kefir Breakfast ""Bifido"" Marianna 2:",dairy
Բասմաթի բրինձ XXL «Տոպ Սան» 900գ,1058.33333333333,1103,rice,"Basmat rice XXL ""TOP SAN"" 900 g",rice
Տոմատ 260կգ ԱՊԳ,420.0,2002,tomatoes,Tomat 260 kg,tomatoes
Դոնդող Երիցյան կգ,1568.78594249201,1602,dessert,Jelly Yeritsyan Kg,dessert
Հալած պանիր «Սիրոբոգատով»130գ կլոր,800.0,406,cheese,"Melted cheese ""Syrobogat"" 130 g round",cheese
Հաելի օվալ 4,250.0,2908,else,Oval 4,else
0401-Անի-Կեֆիր 2.5% 290g,300.0,401,dairy,0401-Ani-kefir 2.5% 290g,dairy
Տոմատ Տոմատ  «Կուբանոչկա»1կգ,1450.0,1006,tomatoes,"Tomat Tomat ""Kubanochka"" 1 kg",tomatoes
Պանիր Parmegiano Reggiano 200գ,3735.37313432836,406,cheese,Cheese Parmigiano Reggiano 200 g,cheese
Բրինձ Բասմաթի 5կգ,5500.0,2106,rice,Rice Basmath 5 kg,rice
"Կաթնաշոռային դեսերտ Հապալասս Չուդո 4,2% 100գ",490.0,403,dessert,Cottage cheese dessert blueberry chudo 4.2% 100 g,cheese
WEIDMANN թ/տ գարեջուր   500ml,700.0,2203,beer,Weidmann / T beer 500ml,beer
դոնդող համբուրգեր 22գ,240.03,1806,dessert,Jelly Hamburgers 22 g,meat
Լոլիկ  կգ 460,460.02,702,tomatoes,Tomato kg 460,tomatoes
Բրինձ Մառանիկ Սան բիրդ թայլանդական,570.909090909091,1006,rice,Rice Maranik San Bip Thai,rice
Դոնդող Անուշ լինի 50գ,450.0,2103,dessert,Jelly Anush is 50 g,dairy
"Մետր Huanan 7,5մ /HAP-90-83",1175.71428571429,3403,else,Meter huanan 7.5 m / hap-90-83,else
"Գարեջուր <<Guinness>> foreign extra 0.33մլ 7,5% ա/",1180.0,2203,beer,"Beer ""Guinness >> FOREIGN EXTRA 0.33 ml 7.5% a /",beer
Լոլիկ մանր,320.945945945946,712,tomatoes,Tomatoes small,tomatoes
Լուչ ժավել 5լ,450.0,3402,else,Luke Javel 5 l,beer
Համեմունք ЗТ դոնդող նարինջի 50գր,200.0,910,dessert,Spice Zt Jelly oranges 50 gr,else
Բրինձ GALLO 500գ venere սև,3050.0,1006,rice,Rice Gallo 500 g Venere black,rice
"Սպագետի ""Ռուսական""",350.0,1902,else,"Spaghetti ""Russian""",else
Պանիր Hochland մեծ 100գ,547.142857142857,406,cheese,Cheese Hochland Great 100 g,cheese
Չիր գիլազի,3000.0,813,dessert,Chry Gilaz,cheese
Գարեջուր Ալեքսանդրապոլ 0.33լ Ա/Տ,430.0,2203,beer,Beer Alexandropol 0.33 l / t,beer
Պանիր Կաթնաշոռային Մարիաննա 100գ,368.965517241379,406,cheese,Cheese Curd Marianna 100 g,cheese
Բրինձ թայլանդ վարդ 25կգ $,530.0,1006,rice,Rice Thailand Rose 25 kg $,rice
"Կիլկի Գոսպադառոչկա 250գ բացիչով,տոմատի",460.0,1604,else,"Kilki Gospadartka 250 g of open, tomato",tomatoes
Բրինձ Պակիստան Պոլիտան կգ,547.777777777778,1006,rice,Rice Pakistan Politic Kg,rice
M08-C909S12 Բլյուդա pur.matt oval,3800.0,7013,else,M08-C909S12 Bludda Pur.Matt Oval,dairy
Վետկա պոմիդոր կգ,644.375,709,tomatoes,Vetka Pomidor Kg,dairy
"Պանիր Կաթնա, Չեչիլ 135գ ",435.0,406,cheese,"Cheese Katna, Chechil 135 g",cheese
Պանիր հալած Viola 200գ,877.511520737327,406,cheese,Cheese Melted Viola 200 g,cheese
Թան Մարիաննա անանուխով 330 գր,160.0,403,dairy,Tan Marianna Mint 330 gr,else
ՉԵՐՐԻ ԿԳ-ՈՎ,2780.0,709,tomatoes,Cherry Kg,dessert
գարեջուր Kozel 0.5լ սև թ*տ,460.154166666667,2203,beer,Beer Kozel 0.5l in black,beer
Թան Մարիաննա 1լ 1.4%,460.0,401,dairy,Tan Marianna 1 l 1.4%,else
Աշտարակ Պանրիկ կաթնաշոռային 25 % 40գ,155.835999015748,406,cheese,Ashtarak cheese cottage cheese 25% 40 g,cheese
ՏԵՂԱԿԱՆ ԼՈԼԻԿ,751.699764982374,702,tomatoes,Local tomato,tomatoes
Լոլիկ GRAN NATURA/DONNA CRISTINA 2.5կգ թ/տ սեփակ,3290.0,2006,tomatoes,Tomato Gran Natura / Donna Cristina 2.5k C / T.,tomatoes
Ժելե Սոչնիյե յագոդի  Մ/Վ կգ,1296.66666666667,1704,dessert,Jelly Sochnyi Yagod M / s,dairy
Կլոր բրինձ «Բարեկենդան» 500գ,490.0,1106,rice,"Round rice ""Carnival"" 500 g",rice
Տորթ Ռուլետ Արփի 600գ,1520.0,1905,dessert,Cake Roulette Arpi 600 g,dessert
Բրինձ Կլոր Արոր 400 գ.,480.0,1006,rice,Rice round Arab 400 g.,rice
Բրինձ  կլոր  700գր.  Յարմրկա,1160.0,1006,rice,Rice round 700 gr.Yarmeal,rice
Պանիր  Գաուդա  կգ.  Ալաշկերտ,4332.04081632653,406,cheese,Cheese Gauda kg.Alashkert,cheese
Ոսկե ջրաղաց Բրինձ երկարահատիկ 1կգ,1070.0,1006,rice,Golden mill rice lengthy 1 kg,rice
"Գարեջուր Մոսկովյան 0,25 լ.",300.0,2203,beer,Beer Moscow 0.25 liters.,beer
ՀԱՎԻ ԲԴԻԿ ԲԼԱԳՈՅԱՌ 683 683,1734.34166666667,207,meat,Chicken Bpikic Blagoyars 683 683,meat
Բրինձ երկար Գուդվիլ 800գ,1010.0,1008,rice,Rice long gudwill 800 g,rice
ՍՏԵԼԼԱ ԱՐՏՈԻՍ  գարեջուր  0.33 լ,520.0,2203,beer,Stella Artois Beer 0.33 l,beer
Լոլիկ փնջով կգ,1011.99115044248,702,tomatoes,Tomato beam kg,tomatoes
Պանիր Լոռի Կաթնա ՄՖ Վակում կգ,4130.0,406,cheese,Cheese Lori's Cathnam MF CLASS,cheese
"Բրինձ  Falak organic brown basmati 1,8կգ",2305.0,713,rice,Rice Falak Organic Brown BASMATI 1.8 Kg,rice
Ոսկե ջրաղաց Բրինձ դեղին 500գ,562.717391304348,1006,rice,Golden mill rice yellow 500 g,rice
Թխվ. Գ. Քենդի Կաթնաշոռային կգ,1650.0,1905,dessert,Baked.C.Candy Cottage Kg,dessert
ԺԵԼԵ ՏՐՈԼԼԻ ԵՐԿ,620.0,2007,dessert,Jelly trollee,dessert
ԼԱ-ՍՈՆ 25մգ,1360.0,3004,else,La-Son 25 mg,dairy
Կաթնաշոռային արտադրանք «Արարատյան Կաթ» կգ,1780.0,406,dairy,"Cottage cheese products ""Ararat Milk"" kg",cheese
"Կաթնաշոռ «Չուդո» բալի-կեռաս 4,0% 100գր",450.0,406,dairy,"Cottage cheese ""Chudo"" cherry-cherries 4,0% 100 gr",cheese
Գարեջուր Delirium red 0.33l ա/տ,1750.0,2208,beer,Beer Delirium Red 0.33L a / t,beer
Վիտչինա Դելիկատես,1900.0,1602,meat,Wittchina Delicism,dairy
Չերի Լոլիկ,1017.56756756757,2106,tomatoes,Cherry tomatoes,tomatoes
Պանիր «Հոխլանդ»  400գ,2040.0,406,cheese,"Cheese ""Hokland"" 400 g",cheese
Պանիր  Գաուդա Մարիաննա,4900.0,403,cheese,Cheese Gauda Marianna,cheese
ԼՈԼԻԿ ՋԵՐՄՈՑ ԿԳ,637.147054631829,702,tomatoes,Tomato greenhouse kg,tomatoes
Դոնդող տորթ Sweety Lab բաժակ 250գ,449.827127659574,910,dessert,Jelly cake Sweety lab cup 250 g,dessert
Լոլիկ Չերի կգ,1751.25,811,tomatoes,Tomato Cherry Kg,tomatoes
Պանիր հալած Գաուդա 400գր,1651.42857142857,406,cheese,Cheese Melted Gauda 400 G,cheese
ԲՐԻՆՁ  ԲԱՍՄԱՏԻ 1կգ,1230.0,1806,rice,Rice Basmat 1 kg,rice
ՌՈԼ ԱԹԵՆՔ,1870.0,1601,else,Roll Athens,else
Գ/Ք Դրաժա Չամիչով,2168.16666666667,1806,dessert,C / c / s with a raisins,dessert
Լոլիկ  Չերրի 1կգ,2019.97755331089,702,tomatoes,Tomato Cherry 1 kg,tomatoes
Զեյթուն հարբած բալ,2050.0,1905,dessert,Zeytun drunk cherry,dessert
Բարեկենդան   Բրինձ շոգեհարած  0.5կգ,390.0,1902,rice,Carnival rice steamed 0.5 kg,rice
"Բրինձ կլոր""Giza""1կգ",669.8755,1006,rice,"Rice round ""Giza"" 1 kg",rice
Տոմատ Tasty food 1կգ,800.0,2103,tomatoes,Tomat Tasty Food 1 kg,tomatoes
Պանիր շերտավոր «Վիտակո» 200գ,780.0,406,cheese,"Cheese Lady ""Vripper"" 200 g",cheese
Մինի Բուրգեր Ժելե 10գր,90.0,1704,dessert,Mini Pyraments Jelly 10 Gr,dessert
Գարեջուր  Արարատ   0.5լ.,440.0,2203,beer,Beer Ararat 0.5 L.,beer
Պանիր 'ՍԱՐՈ' հատ չանախ 51.5%,1742.90322580645,406,cheese,Cheese 'Saro' pieces 51.5%,cheese
ԲՐԻՆՁ ԿԼՈՐ ՍՄԱԿ 900ԳՐ,799.0,1102,rice,Rice Round Smak 900 gr,rice
"Գարեջուր ""Warsteiner"" Ապակի 0.33լ ",720.0,2203,beer,"Beer ""Warsteiner"" glass 0.33 l",beer
Top sun տոմատ 1կգ,918.181818181818,2002,tomatoes,Top Sun Tomat 1 kg,tomatoes
Գարեջուր Դիլիջան 1լ,780.0,2203,beer,Beer Dilijan 1 l,beer
Ընդեղեն  RIFAI  150գ թ/տ կծու միքս,3550.0,2008,dessert,Area Rifai 150 g / t Spicy Mix,else
"Գարեջուր «Կոզել» 0,5լ.",470.0,2203,beer,"Beer ""Wasteless"" 0.5 l.",beer
Աթենք Սլավոնական,2500.0,1602,meat,Athens Slavonic,else
Բրինձ Անուշ Լինի թայլանդական շոգեմշակված,654.10071942446,1006,rice,Rice is a Thai steamed,rice
Բրինձ բասմատի «Միստրալ» 500գր,1673.90881226053,1006,rice,"Rice Basmati ""Mistral"" 500gr",rice
ԵՓԱԾ ԽՏ.ԿԱԹ ՄԱՔՍԻՄՈՒՄ ԾՅՈՒՊԻԿ 250Գ,450.0,405,dairy,Cooked CT. Customs Maxim Tsupik 250 g,meat
Պանիր Վիոլա Շերտավոր 150գ,730.0,406,cheese,Cheese Viola Layered 150 g,cheese
"Հալած պանիր ""Bonfesto"" Mozzarella 250",1750.0,406,cheese,"Melted cheese ""Bonfesto"" Mozzarella 250",cheese
ԱՐևԱԾԱՂԻԿ ԱՊԱՉԻ 9546,1838.24,2104,else,Sunflower Apachi 9546,else
Լոլիկ Չերի Լայմ Գրուպ Կգ-Ով,2290.0,702,tomatoes,Tomato Cherry Lime Group Kg,tomatoes
Պանիր  մոցառելա  կգ,3093.7037037037,406,cheese,Cheese Mozzarella Kg,cheese
գարեջուր Բելի Մեդվեդ 0.449լ,400.02,2203,beer,Beer Beel Medved 0.449 l,beer
Գարեջուր Corona extra 355մլ,671.304347826087,2203,beer,Beer Corona Extra 355 ml,beer
Չոկո Պայ մանգո  360գ,960.0,1905,dessert,Choko Pay Mango 360 g,dessert
թեսթ Օվուլ.  /One step,200.0,9619,else,TEST OVUL./ One Step:,dairy
ԳԱՐԵՋ. ԿԻԼԻԿԻԱ ԲՈՉԿԱ 1Լ,700.0,2203,beer,Beer.Cilicia Bochka 1 liter,beer
ԼՈԼԻԿ ՏԵՂԱԿԱՆ Կ.Գ,710.946502057613,702,tomatoes,Tomato Local KG,tomatoes
ԲՆ. ՀՅՈՒԹ ՍԻՍ 1.65Լ,838.461538461539,2202,else,Apt.Juice Sis 1.65 l,else
ՏՈՆԱԿԱՆ ԼՈՒՅՍ ԱՍՏՂ 28Լ ND-36,1500.0,101,else,Holiday light star 28 l ND-36,else
Պանիր հալած Վիտակո ապուխտով 50% 8հա,531.754385964912,406,cheese,Cheese Melted Vapito Abukho 50% 8 ha,cheese
Լոլիկ 1  ԿԳ,372.222222222222,2001,tomatoes,Tomatoes 1 kg,tomatoes
Օղի ԿՈՐՈՆԱ 0.7լ օրգինալ,3600.0,2208,else,Vodka Corona 0.7 l Orinal,beer
Պանիր Baltais Kremsiers 51% 150գ,1272.77777777778,406,cheese,Cheese Baltais Kremsiers 51% 150 g,cheese
Տոմատ/0.33կգ/(Յուգ),350.0,2002,tomatoes,Tomat / 0.33 kg / (Yug),tomatoes
Ժելե Ռուսկի Պրոդուկտ ելակի համով 50գր,280.0,2106,dessert,Jelly Rusky Product Product Strawberry Taste 50g,dessert
Կաթնաշոռ Պրոստակվաշինո 110գ,470.0,403,dairy,Cottage cheese Jabrashino 110 g,cheese
KILIKIA  բան.  0.5լ.,430.0,2203,beer,Kilikia thing.0.5 l.,else
Պանիր  ZANETTI  pecorino pepato (2619) կգ,15500.0,406,cheese,Cheese Zanetti Pecorino Pepato (2619) kg,cheese
Պանիր Կատնա Չեչիլ Հաստ 135գ,860.0,1806,cheese,Cheese Katna Chechil thick 135 g,cheese
Տոմատ  Հոմելանդ 0.270 կգ,480.0,2002,tomatoes,Tomat Homeland 0.270 kg,tomatoes
ԼՈԼԻԿ ՉԵՐԻ ԼՈՒԿԱՇ670գ,1150.0,101,tomatoes,Tomato Cherry Lukash 670 g,tomatoes
ԽՏ.ԿԱԹ ՌՈՒՍԼԱԴԱ ԷՓԱԾ,720.0,402,dairy,CTHAT RUSLADA VERPED,dairy
Գարեջուր Baltika 7 ա/տ 0.5 լ,580.0,2203,beer,Beer Baltika 7 a / t 0.5 l,beer
Փայտ Ականջի Մանկական Չերի,440.0,3005,else,Wooden Ear Children,else
Զեֆիր Մագնոլիա յուժնայա կգ 61/62/10,2236.25,1905,dessert,Zephir Magnolia Yuzhnaya Kg 61/62/10,else
Չերի լոլիկներ 0.72կգ /Գլոբուս,700.0,2001,tomatoes,Cherry tomatoes 0.72 kg / globe,tomatoes
Թթու պղպեղ դեղին/լցոնած պանրով/(Աթհենա),3100.0,2004,else,Sour pepper with yellow / stuffed cheese / (Athena),cheese
"Կիլկի Գոսպոդառոչկա 250գ բացիչով,տոմատի",450.0,1604,meat,"Kilki Gospodchocka with 250 g opener, tomato",tomatoes
"Պանիր Չանախ ""Գորիսի"" կգ Ը",1752.27272727273,406,cheese,"Cheese Chanakh ""Goris"" KG",cheese
Կաթնաշոռային մթերք Արարատյան  200գ,460.0,406,dairy,Cottage cheese Food Ararat 200 g,cheese
Կաթնամթերք Չեմպիոն Թան 330մլ,160.0,403,dairy,Dairy Champion Tan 330 ml,dairy
Հրուշակ փախլավա,450.0,1905,dessert,Confectionery phase,dessert
"Ժելե Մայամա ազնվամորի,սև հաղարջ 70գ",140.0,2007,dessert,"Jelly Mayama Raspberries, currant 70 g",dessert
ՖԱՆԱՐ MS-200,2389.0,8513,else,Fanari MS-200,else
"Թխ,Մանկիկ 140գ Դարոյնք",220.0,1905,dessert,"Base, baby 140 g Daroink",dairy
Գարեջուր Տրյոխգորնոե օրիգինալ էլ 1լ,1196.34146341463,2203,beer,Beer Trichgornoe Original El 1 l,beer
Բրինձ երկար «Մոյա Սեմյա» Պակիստան 0.5կգ,370.0,1006,rice,"Rice long ""Moya Semia"" Pakistan 0.5 kg",rice
Բրինձ շոգեհարած Նուր ջան բասմատի 1000գ,1340.0,713,rice,Rice steamed Nur Jan Basmat 1000 g,rice
Ռահատ լողում 300գ վարդ,590.0,1704,dessert,300 g of rose floating,else
ԼՈԼԻԿ ԸՆՏԻՐ ԿԳ 985,940.205,805,tomatoes,Tomato Sleek kg 985,tomatoes
Բրինձ երկար Գուդվիլ 800գր,1150.0,1006,rice,Rice long gudwill 800 gr,rice
Ժելե Ռուսկի պրոդուկտ բալ 50գ,290.0,3503,dessert,Jelly Russian Product Berry 50 g,else
բրինձ Մոյա սեմյա 1կգ գոլդ,830.0,1006,rice,Rice Moya Semi 1 kg Gold,rice
Լոլիկ / Չերի,2769.23076923077,702,tomatoes,Tomato / Cherry,tomatoes
"Գարեջուր Կարոնա , ա/շ, 0,355լ",730.0,2203,beer,"Beer Carona, a / sh, 0.355 l",beer
Գարեջուր Նատախտարի պ/տ 1լ,940.0,2203,beer,Beer Natakar P / T 1 l,beer
Ապարանի թան 0.5լ գազավորված,220.0,403,dairy,Aparan Tan 0.5 l Carbonated,else
Պանիր կգ Սուլուգունի,4150.0,406,cheese,Cheese kg Suluguni,cheese
Գարեջուր Կոզել թ/տ. 0.5լ,471.898734177215,2203,beer,Beer Wasteway / T.0.5 l,beer
"Ռուլետ, մրջնաբ.,նուտելա,...",2050.0,1102,dessert,"Roulette, anthlea, Nutela, ...",dessert
Հրուշակ Ղադաեֆ/Բողչա,370.0,1905,dessert,Confectionery Ghadaef / Complaints,dessert
Գարեջուր Գյումրի գոլդ 330մլ,370.0,2203,beer,Beer Gyumri Gold 330 ml,beer
Դոնդող արագ պատրաստման ազնվամորու 50գ Ռ.Պ.,300.0,1905,dessert,Jelly fast preparation raspberries 50 g of R.P.,dairy
Ժելե <<Hitschies>> Saure Drchenzung,840.0,1806,dessert,Jelly << Hitschies >> SAURE Drchenzung:,dairy
Լոլիկ ճյուղով  կգ,1422.14371257485,702,tomatoes,Tomato Branch Kg,tomatoes
Բրինձ  Granum Trade  0.8kg,850.0,1006,rice,Rice granum trade 0.8kg,rice
Պոմիդոր Հրազդան էժան,945.0,702,tomatoes,Cheap tomato Hrazdan,tomatoes
Ֆիլե տավարի սառեցված,2750.0,1601,meat,Fillet beef frozen,meat
Բրինձ Գրանում Թրեյդ 800գ,855.0,1006,rice,Rice Grandmut Trade 800 g,rice
ելակ կգ,1700.0,810,dessert,Strawberry Kg,dessert
բլյուդ կանաչ*սպիտակ օվալ փոքր,2129.865,7013,else,Blue Green * White Oval Small,else
թխվ Lovita 127g,305.833333333333,1905,dessert,թխվ Lovita 127g,dairy
